sale_id;purchase_id;sale_total_BRL;total_cost_BRL;gross_profit_BRL
666;795;132524.05;132698.3;-174.25
7765;825;74960.7;78914.86;-3954.1600000000035
5256;846;1461139.0;1461304.56;-165.56000000005588
4997;793;1893.0;1704.33;188.67000000000007
4294;742;51332.3;54040.0;-2707.699999999997
8211;800;257367.0;257397.24;-30.239999999990687
3549;814;662886.25;697853.0;-34966.75
3131;658;53873.0;53879.409999999996;-6.4099999999962165
2300;855;596858.4;628342.02;-31483.619999999995
1230;763;512566.8;539607.16;-27040.360000000044
4212;852;402538.75;453833.46;-51294.71000000002
5239;632;206309.0;206332.69999999998;-23.699999999982538
9562;743;186007.0;186027.44999999998;-20.449999999982538
9161;844;60898.0;60905.03999999999;-7.039999999993597
7899;846;809714.45;852427.66;-42713.21000000008
7777;770;126721.45;123487.87;3233.5800000000017
7479;844;17399.0;17401.44;-2.4399999999986903
7082;652;17866.65;20013.96;-2147.3099999999977
6552;752;59805.0;59827.31999999999;-22.319999999992433
6459;763;1079088.0;1079214.32;-126.32000000006519
5121;777;308205.0;287828.86;20376.140000000014
3793;837;6425.8;6764.52;-338.72000000000025
4034;700;710775.75;748270.4;-37494.65000000002
663;827;25907.45;27273.69;-1366.239999999998
4150;589;6716.0;7028.26;-312.2600000000002
1238;853;4654.0;4429.52;224.47999999999956
2171;842;23387.1;25694.52;-2307.420000000002
1083;821;9278.65;9568.349999999999;-289.6999999999989
2513;607;147156.9;154822.95;-7666.0500000000175
2920;625;21424.4;22554.6;-1130.199999999997
3525;793;11356.0;10225.98;1130.0200000000004
2476;599;25432.45;26773.600000000002;-1341.1500000000015
6561;824;1927.0;1927.44;-0.44000000000005457
9975;680;71023.9;72030.15000000001;-1006.2500000000146
8378;841;339021.0;344035.35;-5014.349999999977
8172;320;1136177.2;1519503.72;-383326.52
7226;762;17283.0;17285.21;-2.209999999999127
6966;353;1298378.0;1298578.95;-200.94999999995343
5896;824;7709.0;7709.76;-0.7600000000002183
4010;696;1728477.5;1819665.3800000001;-91187.88000000012
3713;821;3256.0;3189.45;66.55000000000018
3510;751;22217.0;22586.16;-369.15999999999985
3291;353;865586.0;865719.2999999999;-133.29999999993015
2622;764;26914.45;28334.24;-1419.7900000000009
1767;786;33123.0;33126.44;-3.4400000000023283
488;535;32248.0;32251.23;-3.2299999999995634
5775;595;237063.0;237087.92;-24.920000000012806
8343;662;234334.6;256894.32;-22559.72
9269;798;10037.0;10037.880000000001;-0.8800000000010186
8571;773;776887.2;731267.36;45619.83999999997
7852;743;50487.75;53150.7;-2662.949999999997
7677;777;364242.0;340161.38;24080.619999999995
6768;746;144928.0;144943.68;-15.679999999993015
8335;814;254956.25;268405.0;-13448.75
5791;736;476287.25;534245.88;-57958.630000000005
3342;564;137800.0;132255.37;5544.630000000005
2902;764;5151.0;5151.68;-0.680000000000291
2017;860;88854.0;88864.16;-10.160000000003492
1909;856;1731315.15;1822643.0599999998;-91327.90999999992
1384;862;1306696.0;1306820.1300000001;-124.13000000012107
5938;749;1276451.35;1353289.19;-76837.83999999985
9786;625;149970.8;157882.19999999998;-7911.399999999994
8776;844;39149.0;39153.24;-4.239999999997963
8334;866;42552.0;42557.100000000006;-5.100000000005821
6572;669;35829.25;38262.18;-2432.9300000000003
5245;844;53720.6;56554.67999999999;-2834.0799999999945
4929;735;1496021.05;1700720.89;-204699.83999999985
2749;851;8223.0;8223.55;-0.5499999999992724
4226;685;92850.0;94969.98;-2119.979999999996
2113;710;40637.0;40641.590000000004;-4.5900000000037835
1098;858;78429.15;79649.3;-1220.1500000000087
84;828;10455.7;11398.84;-943.1399999999994
9792;801;21809.0;21811.92;-2.9199999999982538
4478;752;29903.0;29913.659999999996;-10.659999999996217
8344;706;8873.0;8873.82;-0.819999999999709
8331;856;494661.2;520755.16;-26093.959999999963
9377;743;227194.4;239178.15;-11983.75
6427;715;261498.0;275887.89;-14389.890000000014
8097;816;23254.0;23256.100000000002;-2.100000000002183
2729;805;3095.0;3095.6;-0.599999999999909
1708;709;62442.55;65736.96;-3294.4100000000035
91;841;339021.0;344035.35;-5014.349999999977
4488;599;17802.05;18741.52;-939.4700000000012
5434;743;100975.5;106301.4;-5325.899999999994
9555;707;14973.0;14974.68;-1.680000000000291
9129;788;118773.75;125039.9;-6266.149999999994
7415;819;16732.0;16616.56;115.43999999999869
6718;855;209424.0;209447.34;-23.339999999996508
4730;828;83641.8;91190.72;-7548.919999999998
2600;549;47397.0;47401.9;-4.900000000001455
2141;763;384425.1;404705.37;-20280.27000000002
2016;858;62743.7;63719.44;-975.7400000000052
945;850;1473151.7;1550831.4;-77679.69999999995
246;549;47397.0;47401.9;-4.900000000001455
147;813;3102.7;3266.55;-163.85000000000036
3620;637;106382.0;103493.06999999999;2888.9300000000076
6212;776;853314.7;814407.5800000001;38907.11999999988
6207;859;15622.0;15951.300000000001;-329.3000000000011
8370;863;81679.1;85987.26;-4308.159999999989
1839;740;9871.45;10391.550000000001;-520.1000000000004
9840;828;115007.95;125387.24;-10379.290000000008
5131;709;124886.05;131473.92;-6587.87000000001
9616;863;408393.6;429936.3;-21542.70000000001
