sale_id;client_id;product_id;product_qty;sale_date;sale_total_BRL
666;14;15;5;2023-01-01;132524.05
1230;17;91;4;2023-01-01;512566.8
2300;30;95;9;2023-01-01;596858.4
3131;28;130;13;2023-01-01;53873.0
3549;10;53;13;2023-01-01;662886.25
4212;9;96;6;2023-01-01;402538.75
4294;7;44;5;2023-01-01;51332.3
4997;23;133;1;2023-01-01;1893.0
5256;19;78;12;2023-01-01;1461139.0
7765;30;22;2;2023-01-01;74960.7
8211;14;67;3;2023-01-01;257367.0
663;39;147;9;2023-01-02;25907.45
1083;10;119;3;2023-01-02;9278.65
1238;42;149;4;2023-01-02;4654.0
2171;24;117;6;2023-01-02;23387.1
2476;25;126;10;2023-01-02;25432.45
2513;8;82;3;2023-01-02;147156.9
2920;19;50;2;2023-01-02;21424.4
3525;32;133;6;2023-01-02;11356.0
3793;22;4;2;2023-01-02;6425.8
4034;5;86;8;2023-01-02;710775.75
4150;3;33;1;2023-01-02;6716.0
5121;27;61;11;2023-01-02;308205.0
5239;21;48;14;2023-01-02;206309.0
6459;3;91;8;2023-01-02;1079088.0
6552;30;46;12;2023-01-02;59805.0
7082;41;140;6;2023-01-02;17866.65
7479;14;145;4;2023-01-02;17399.0
7777;26;25;11;2023-01-02;126721.45
7899;41;78;7;2023-01-02;809714.45
9161;26;145;14;2023-01-02;60898.0
9562;2;18;7;2023-01-02;186007.0
488;33;30;1;2023-01-03;32248.0
1767;11;1;1;2023-01-03;33123.0
2622;27;116;11;2023-01-03;26914.45
3291;13;74;10;2023-01-03;865586.0
3510;24;123;8;2023-01-03;22217.0
3713;1;119;1;2023-01-03;3256.0
4010;16;63;13;2023-01-03;1728477.5
5775;16;39;8;2023-01-03;237063.0
5896;35;131;8;2023-01-03;7709.0
6561;17;131;2;2023-01-03;1927.0
6966;28;74;15;2023-01-03;1298378.0
7226;24;26;1;2023-01-03;17283.0
8172;46;72;12;2023-01-03;1136177.2
8378;21;36;15;2023-01-03;339021.0
9975;16;8;15;2023-01-03;71023.9
1384;21;57;11;2023-01-04;1306696.0
1909;26;71;14;2023-01-04;1731315.15
2017;45;92;1;2023-01-04;88854.0
2902;14;116;2;2023-01-04;5151.0
3342;48;41;13;2023-01-04;137800.0
5791;20;14;14;2023-01-04;476287.25
5938;37;81;11;2023-01-04;1276451.35
6768;1;11;4;2023-01-04;144928.0
7677;11;61;13;2023-01-04;364242.0
